SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,17,0.9182,0.0168,10.9513,0.8570,0.0303,87.5000,0.8751,biobakery3
SRR11487932,17,0.9074,0.0165,10.5054,0.8594,0.0309,81.2500,0.9388,biobakery3
SRR11487933,17,0.9109,0.0157,13.0720,0.8669,0.0293,81.2500,1.0776,biobakery3
SRR11487934,17,0.9000,0.0154,11.3667,0.8692,0.0309,87.5000,1.0047,biobakery3
SRR11487935,17,0.9153,0.0149,11.1975,0.8735,0.0283,81.2500,1.1836,biobakery3
Average,17,0.9104,0.0159,11.4186,0.8652,0.0299,83.7500,1.0160,biobakery3
SRR11487931,16,0.9209,0.0215,2.2141,0.8278,0.0429,100.0000,0.0000,biobakery4
SRR11487932,16,0.9174,0.0223,2.2360,0.8219,0.0430,100.0000,0.0000,biobakery4
SRR11487933,16,0.9296,0.0200,2.1698,0.8398,0.0392,100.0000,0.0000,biobakery4
SRR11487934,16,0.9241,0.0210,2.2345,0.8324,0.0406,100.0000,0.0000,biobakery4
SRR11487935,16,0.9312,0.0201,2.2836,0.8391,0.0388,100.0000,0.0000,biobakery4
Average,16,0.9247,0.0210,2.2276,0.8322,0.0409,100.0000,0.0000,biobakery4
SRR11487931,19,0.9072,0.0186,8.6952,0.8233,0.0312,100.0000,0.7685,jams
SRR11487932,18,0.8999,0.0198,7.6305,0.8218,0.0327,100.0000,0.7049,jams
SRR11487933,19,0.9149,0.0175,7.7663,0.8337,0.0289,100.0000,0.6833,jams
SRR11487934,18,0.9049,0.0193,7.8571,0.8262,0.0314,100.0000,0.7414,jams
SRR11487935,19,0.9201,0.0174,8.6408,0.8348,0.0283,100.0000,0.8156,jams
Average,19,0.9094,0.0185,8.1180,0.8280,0.0305,100.0000,0.7428,jams
SRR11487931,16,0.9043,0.0219,2.8416,0.8250,0.0348,68.7500,0.0000,jams202212
SRR11487932,16,0.8984,0.0221,2.9141,0.8232,0.0354,68.7500,0.0000,jams202212
SRR11487933,16,0.9133,0.0206,2.6511,0.8350,0.0319,68.7500,0.0000,jams202212
SRR11487934,16,0.9028,0.0216,2.8597,0.8273,0.0339,68.7500,0.0000,jams202212
SRR11487935,16,0.9178,0.0205,2.6396,0.8358,0.0315,68.7500,0.0000,jams202212
Average,16,0.9073,0.0213,2.7812,0.8293,0.0335,68.7500,0.0000,jams202212
SRR11487931,30,0.9123,0.0131,9.1085,0.8034,0.0280,100.0000,3.6632,wgsa2
SRR11487932,29,0.9102,0.0137,9.4455,0.8008,0.0285,100.0000,3.8162,wgsa2
SRR11487933,30,0.9192,0.0126,9.1518,0.8111,0.0257,100.0000,3.7572,wgsa2
SRR11487934,30,0.9163,0.0128,9.4864,0.8081,0.0264,100.0000,3.7870,wgsa2
SRR11487935,30,0.9223,0.0123,8.9791,0.8149,0.0251,100.0000,3.8416,wgsa2
Average,30,0.9161,0.0129,9.2342,0.8077,0.0268,100.0000,3.7730,wgsa2
SRR11487931,55,0.4512,0.0148,12.6486,0.5933,0.0449,93.7500,12.7959,woltka
SRR11487932,56,0.4342,0.0148,12.7220,0.5849,0.0456,93.7500,12.9989,woltka
SRR11487933,56,0.4428,0.0146,12.6679,0.5915,0.0448,93.7500,12.6912,woltka
SRR11487934,54,0.4562,0.0149,12.5359,0.5983,0.0449,93.7500,12.4913,woltka
SRR11487935,57,0.4508,0.0142,12.6337,0.5961,0.0440,93.7500,12.6258,woltka
Average,56,0.4471,0.0147,12.6416,0.5928,0.0449,93.7500,12.7206,woltka
